"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_CODE_ISO","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE",
1651001,16510,"NC7","Michael J. Smith Field",3601,36,"US",34,34.73361111,76,-76.66055556,
1651002,16510,"NC7","Michael J. Smith Field",3601,36,"US",34,34.73388889,76,-76.66027778,
1651003,16510,"NC7","Michael J. Smith Field",3601,36,"US",34,34.73361111,76,-76.66055556,
1651004,16510,"NC7","Michael J. Smith Field",3601,36,"US",34,34.73388889,76,-76.66027778,
1651101,16511,"IN3","Indianapolis Metro",4201,42,"US",39,39.93527778,86,-86.04500000,
1651201,16512,"NY8","Mattituck Airport",2201,22,"US",40,40.98694444,72,-72.51916667,
1651301,16513,"NT2","Colomac Airport",93101,931,"CA",64,64.38500000,115,-115.12472222,
1651401,16514,"TBG","Tabubil Airport",80401,804,"PG",5,-5.27972222,141,141.22694444,
1651402,16514,"TBG","Tabubil Airport",80401,804,"PG",5,-5.28000000,141,141.22722222,
1651403,16514,"TBG","Tabubil Airport",80401,804,"PG",5,-5.27972222,141,141.22694444,
1651404,16514,"TBG","Tabubil Airport",80401,804,"PG",5,-5.28000000,141,141.22722222,
1651405,16514,"TBG","Tabubil Airport",80401,804,"PG",5,-5.27944444,141,141.22694444,
1651501,16515,"WA9","Anderson Field",9301,93,"US",48,48.10500000,119,-119.72055556,
1651502,16515,"WA9","Anderson Field",9301,93,"US",48,48.10472222,119,-119.72000000,
1651601,16516,"RU4","Ostafyevo",47501,475,"RU",55,55.50750000,37,37.50416667,
1651701,16517,"CA6","Chemehuevi Valley Airport",9101,91,"US",34,34.52888889,114,-114.43194444,
1651801,16518,"YCE","James T. Field Memorial",93601,936,"CA",43,43.28555556,81,-81.50833333,
1651802,16518,"YCE","James T. Field Memorial",93601,936,"CA",43,43.28583333,81,-81.50638889,
1651803,16518,"YCE","James T. Field Memorial",93601,936,"CA",43,43.28555556,81,-81.50833333,
1651804,16518,"YCE","James T. Field Memorial",93601,936,"CA",43,43.28583333,81,-81.50638889,
1651901,16519,"PA4","Carlisle Airport",2301,23,"US",40,40.18777778,77,-77.17416667,
1652001,16520,"DE2","Summit",3101,31,"US",39,39.52111111,75,-75.72361111,
1652101,16521,"BPI","Miley Memorial Field",8801,88,"US",42,42.58500000,110,-110.11111111,
1652102,16521,"BPI","Miley Memorial Field",8801,88,"US",42,42.58222222,110,-110.10888889,
1652103,16521,"BPI","Miley Memorial Field",8801,88,"US",42,42.58500000,110,-110.11111111,
1652104,16521,"BPI","Miley Memorial Field",8801,88,"US",42,42.58222222,110,-110.10888889,
1652201,16522,"LNV","Kunaye",80401,804,"PG",3,-3.04388889,152,152.62944444,
1652202,16522,"LNV","Kunaye",80401,804,"PG",3,-3.04388889,152,152.62916667,
1652203,16522,"LNV","Kunaye",80401,804,"PG",3,-3.04388889,152,152.62944444,
1652204,16522,"LNV","Kunaye",80401,804,"PG",3,-3.04388889,152,152.62916667,
1652301,16523,"YPD","Parry Sound Area Municipal",93601,936,"CA",45,45.25750000,79,-79.82972222,
1652401,16524,"PGC","Grant County",3901,39,"US",38,38.99500000,79,-79.14583333,
1652501,16525,"PA5","Brandywine",2301,23,"US",39,39.99000000,75,-75.58194444,
1652502,16525,"PA5","Brandywine Regional",2301,23,"US",39,39.99000000,75,-75.58194444,
1652601,16526,"MA4","Marshfield Municipal George Harlow Field",1301,13,"US",42,42.09833333,70,-70.67222222,
1652602,16526,"MA4","Marshfield Municipal George Harlow Field",1301,13,"US",42,42.09750000,70,-70.67305556,
